question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
Type of collagen maximum in skin:-,"Collagen - the most abundant protein in mammals contains 4-hydroxyproline and 5-hydroxylysine. Vitamin C plays the role of a coenzyme in hydroxylation of proline and lysine while protocollagen is conveed to collagen The hydroxylation reaction is catalysed by lysyl hydroxylase (for lysine) and prolyl hydroxylase (for proline) This reaction is dependent on vitamin C, molecular oxygen and a-ketoglutarate Type Distribution I Noncailaginous connective tissues, including bone, tendon, skin II Cailage, vitreous humor III Extensible connective tissues, including skin, lung, vascular system IV Basement membranes",1,Type I,Type II,Type III,Type IV,Biochemistry,NEET 2019,592dd58a-ef4f-4259-b81d-44a5fc989338,single,1
Delta bilirubin is ______ bilirubin _____ bound to albumin.,Delta bilirubin or biliprotein is the fraction of conjugated bilirubin that is covalently bound to albumin. This is responsible for the lab finding of persistent hyperbilirubinemia even after the disappearance of jaundice in cases of obstructive jaundice. -Chromatographic fractionation of serum bilirubin: a bilirubin unconjugated bilirubin b bilirubin bilirubin monoglucuronide g bilirubin bilirubin diglucuronide d bilirubin albumin bound conjugated bilirubin,1,"Conjugated, covalently","Unconjugated, non-covalently","Conjugated, noncovalently","Unconjugated, covalently",Biochemistry,HAEM synth and porphyrias,8f33fa27-fc5d-40c7-a7cd-5aaeb247ad89,single,1
What is the function of DNA ligase ?,"Ans. is 'b* i.e., Seals the single strand nick between the .......... ProteinFunctionDNA polymerasesDeoxynucieotide polymerizationHelicasesProcessive unwinding of DNATopoisomerasesRelieve torsional strain that results from helicase-induced unwindingDNA primaseInitiates synthesis of RNA primersSingle-strand binding proteinsPrevent premature reannealling of dsDNADNA ligaseSeals the single strand nick between the nascent chain and Okazaki fragments on lagging strand",2,Unwinding (denaturation) of dsDNA to provide an ssDNA template,Seals the single strand nick between the nascent chain and Okazaki fragments on lagging strand,Initiation of DNA synthesis and elongation,Initiates synthesis of RNA primers,Biochemistry,DNA Replication ,fc63a9c7-7582-4fa0-aab7-60f59bed1bc5,single,2
"Per TCA with 3 NADH and 1 FADH2, generates how many ATP-","Ans. is 'b' i.e., 9 o One N ADH produces 2.5 ATP and one FADH2 produces 1.5 ATP. Thus 3 NADH and 1 FADH2 will produce 9 ATP.o There is production of ATP at substrate level also. Thus total 10 ATP molecules are produced per cycle.Energetics of TCA cycles iKreb's cycle)o One turn of the TCA cycle, starting with acetyl CoA produces 10 ATPs. When the starting molecule is pyruvate, the oxidative decarboxylation of pyruvate, the oxidative decarboxylation of pyruvate yields 2[?]5 ATPs and therefore, 12[?]5 ATPs are produced when starting compound is pyruvate. Since, two molecules of pyruvate enter the TCA cycle when glucose is metabolized (glycolysis produces 2 molecules of pyruvate), the number of ATPs is doubled. Therefore, 25 ATP molecules, per glucose molecule, are produced when pyruvate enters the TCA cycle,o Note : Previously calculations were made assuming that NADH produces 3 ATPs and FADH generates 2 ATPs. This will amount a net generation of 30 ATP molecules in TCA per molecule glucose and total 38 molecules from starting. Recent experiments shoiv that these values are overestimates and NADH produces 2[?]5 ATPs and FADH produces T5 ATPs. Therefore, net generation during TCA is 25 ATPs and complete oxidation of glucose through glycolysis plus citric acid cycle yield a net 32 ATPs.o Energy yield (number of ATP generated) per moleeule of glucose wrhen it is completely oxidized through glycolysis plus citric acid cycle, under aerobic conditions, is as follows :- Method ofATP formationNo of ATPs gained perglucose (new calculation)No of ATPs As per old calculationPathwayStepEnzymeSource Glycolysis1 Hexokinase.Minus 1Minus 1Do3Pbosphofructoki nase-Minus 1Minus 1Do5Glyceraldehyde-3-p DHNADHRespiratory chain2-5x2 = 53x2=6Do61,3-BPG kinaseATPSubstrate level1x2= 21x2=2Do9Pyruvate kinaseATPSubstrate level1x2= 21x2=2Pyruvate to-PyruvateNADHRespiratory chain2-5x2= 53x2=6Acetyl CoA Dehydrogenase TCA cycle3Isocitrate DHNADHRespiratory chain2-5x2= 53x2=6Do4Alpha keto giutarate DHNADHRespiratory chain2-5x2= 53x2=6Do5Succinate thiokinaseGTPSubstrate level1x2= 21x2=2Do6Succictnate DHFADH2Respiratory chain1-5x2= 32x2=4Do8Malate DHNADHRespiratory chain2-5x2= 53 x 2= 6Net generation in glycolytic pathway 9 minus 2=710 minus 2=8Generation in pyruvate dehydrogenase reaction=5 =6Generation in citric acid cycle=20 =24Net generation of ATP from one glucose mole=32 =38",2,6,9,12,15,Biochemistry,Kerbs Cycle,23bbeaa8-bf60-4ab5-a9cb-270f7941006e,single,2
Ammonia is detoxified in brain by formation of,"The transpo form of Ammonia in blood and from Brain is Glutamine. From muscles, it is Alanine. The answer is not glutamate because free ammonia is trapped by glutamine Glutamate is formed transamination of amino acids, not from free ammonia.",3,Glutamate,Uric acid,Glutamine,Urea,Biochemistry,Urea cycle,c47357ef-9bb6-4ba7-8d54-5d5f552ea814,single,3
Function of endonucleases:-,Endonuclease Exonuclease Cut in between the DNA sequence Cut from the sides either from 5' or from 3' side Cut ds DNA Cut ss & ds DNA,1,Cut DNA at specific DNA sequences,Enhancers,To find out antibiotic resistances,To point out the coding regions,Biochemistry,Basics of DNA,999fea48-cf9d-495e-82de-dc137ae28888,single,1
Urea cycle is linked to TCA cycle by -,"Ans. is 'd' i.e., Fumarate |Ref: Harper 29th/e p. 276-277]o Fumarate is released during urea cycle, which is an intermediate of Kreb's cycle, thus linking the two.Both urea cycle and TCA cycle have been explained in previous years.",4,Arginine,Ornithine,Oxaloacetate,Fumarate,Biochemistry,Urea Cycle and Disorders,c16e22b6-f5d0-435a-b3eb-00404bb856d6,single,4
Action of topoisomerase III -,"Ans. is 4d' i.e., Single strand breako Topoisomerase I - Removes negative supercoiling.o Topoisomerase II - Relaxes positive supercoils and forms negative supercoiling by condensation, of chromosome,o Topoisomerase III - Can introduce single strand breaks during recombination that are required for DNA to be exchanged by adjacent chromosome.o Topoisomerase IV- Acts to disentangle the replicated intertwined DNA strands by making double-strand breaks that allow one duplex to pass through the other.",4,Remove positive supercoil,Remove negative supercoil,Form negative supercoid,Single strand break,Biochemistry,DNA Replication ,0f2cc09c-f7fa-47c2-a489-4d3a21011722,single,4
Viscosity of synovial fluid depends upon:-,"Ans. is 'd' Hyaluronic acid .The viscosity and the plastic (thixotropic properties) of the synovial fluid is because of its hyaluronate content.Hyaluronic acid, a glycosaminoglycan is a polymer of repeating disaccharide units (of glucuronic acid and N-acetyl glucosamine).Also RememberFunctions of Glycosaminoglycans* Hyaluronic acidViscosity of the synovial fluid.jelly like consistency of vitreous humor of eye*.Tensile strength and elasticity of cartilage and tendons*.* Chondroitin sulfate* Tensile strength of cartilage tendons, ligaments and the walls of aorta*.* Dermatan sulfate* Pliability of skin* and heart valves*.* Keratan sulfateFound in horny structures* of body composed of dead cells - hair, nails, claws, horn, hoofs.Also present in cornea*.* Heparin* Anticoagulant",4,N-acetyl galactosamine,N-acetyl glucosamine,Glucuronic acid,Hyaluronic acid,Biochemistry,Membrane Structure & Function,24e5ba19-2549-4987-873b-b68bba72ca0c,single,4
Arrange the following in sequence occurring in fed state 1. Insulin 2. GLUT-2 3. Uptake of glucose by skeletal muscles 4. GLUT-4,During Fed state GLUT-2 = Insulin = GLUT-4 = Uptake of glucose by skeletal muscles,3,2-1-3-4,4-2-3-1,2-1-4-3,1-3-4-2,Biochemistry,"Fuel in Fed, Fasting and Starvation",95985c68-1219-4f3b-aea4-a5a0727f4a36,single,3
